date,id,name,y_items,y_actual_cost,total_list_size
01/10/2014,P84665,AL-SHIFA MEDICAL CENTRE,61,135.8,2749
01/10/2014,P84071,WILBRAHAM SURGERY,94,360.96,4206
01/10/2014,P84635,THE WHITSWOOD PRACTICE,81,391.27,3488
01/10/2014,P84064,NEW ISLINGTON MEDICAL CENTRE,92,303.81,3840
01/10/2014,P84053,ASHCROFT SURGERY,193,499.62,8036
01/10/2014,P84682,BURNAGE HEALTHCARE PRACTICE,56,127.77,2330
01/10/2014,P84652,CORKLAND ROAD MEDICAL PRACTICE,171,523.15,6810
01/10/2014,P84004,FIVE OAKS FAMILIY PRACTICE,225,935.11,8819
01/10/2014,P84070,NEWTON HEATH MEDICAL CENTRE,141,478.96,5469
01/10/2014,P84012,NORTHENDEN GROUP PRACTICE,289,836.75,11028
01/10/2014,P84627,DR TIWARI'S PRACTICE,48,93.71,1825
01/10/2014,P84644,PARKSIDE SURGERY,100,309.01,3793
01/10/2014,P84037,DR CUNNINGHAM & PARTNERS,180,520.27,6825
01/10/2014,P84050,MOUNT ROAD SURGERY,191,887.3,7242
01/10/2014,P84042,FLORENCE HOUSE MEDICAL PRACTICE,209,615.15,7775
01/10/2014,P84611,"DR CHIU, KOH AND GAN",157,383.45,5822
01/10/2014,P84052,WEST GORTON MEDICAL PRACTICE,173,515.96,6288
01/10/2014,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,251,692.65,9102
01/10/2014,P84023,SURREY LODGE PRACTICE,227,533.49,8106
01/10/2014,P84626,WILMSLOW ROAD SURGERY,132,383.2,4614
01/10/2014,Y02325,CHARLESTOWN MD,96,400.95,3300
01/10/2014,P84651,NORTHERN MOOR MEDICAL PRACTICE,86,236.46,2949
01/10/2014,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,283,808.99,9540
01/10/2014,P84043,CORNISHWAY GROUP PRACTICE,264,1140.42,8860
01/10/2014,P84062,BROOKDALE SURGERY,85,185.58,2830
01/10/2014,P84026,DICKENSON ROAD MEDICAL CENTRE,190,671.71,6303
01/10/2014,P84672,WOODLANDS MEDICAL PRACTICE,92,254.96,3023
01/10/2014,P84679,WILLOWBANK SURGERY,49,106.12,1606
01/10/2014,Y02960,NEW BANK HEALTH,155,625.89,5016
01/10/2014,P84640,QUEENS MEDICAL CENTRE,100,305,3143
01/10/2014,P84030,NEW COLLEGIATE MEDICAL CENTRE,417,1578.85,13039
01/10/2014,P84637,DR KHAN'S PRACTICE,83,239.39,2547
01/10/2014,P84074,WELLFIELD MEDICAL CENTRE,309,1122.83,9387
01/10/2014,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,251,597.92,7534
01/10/2014,P84020,PEEL HALL MEDICAL CENTRE,281,1281.59,8397
01/10/2014,P84032,DRS HANIF & BANNURU,217,489.8,6462
01/10/2014,P84021,THE MAPLES MEDICAL CENTRE,260,938.35,7722
01/10/2014,Y01695,MP VICTORIA MILL,83,355.56,2437
01/10/2014,P84684,JOLLY MEDICAL CENTRE,107,239.3,3137
01/10/2014,P84051,EASTLANDS MEDICAL CENTRE,182,628.35,5320
01/10/2014,P84690,DAM HEAD MEDICAL CENTRE,91,195.93,2651
01/10/2014,P84047,DROYLSDEN RD FAMILY PRACTICE,170,395.14,4885
01/10/2014,P84016,LEVENSHULME MEDICAL PRACTICE,239,734.99,6865
01/10/2014,P84019,VALENTINE MEDICAL CENTRE,370,1139.06,10524
01/10/2014,P84048,TREGENNA GROUP PRACTICE,236,697,6558
01/10/2014,P84645,PARK VIEW MEDICAL CENTRE,224,654.56,6179
01/10/2014,P84066,DAVID MEDICAL CENTRE,153,430.21,4157
01/10/2014,P84631,ARTANE MEDICAL CENTRE,77,346.75,2005
01/10/2014,P84663,THE NEVILLE FAMILY CENTRE,158,479.78,4060
01/10/2014,P84056,PRINCESS ROAD SURGERY,176,576.87,4482
01/10/2014,P84067,HAZELDENE MEDICAL CENTRE,261,1058.17,6584
01/10/2014,P84024,BOWLAND MEDICAL PRACTICE,303,1215.52,7579
01/10/2014,P84041,CORNERSTONE FAMILY PRACTICE,253,645.44,6073
01/10/2014,P84028,GORTON MEDICAL CENTRE,348,983.34,8330
01/10/2014,P84049,THE AVENUE MEDICAL CENTRE,419,1301.09,9845
01/10/2014,P84059,LIME SQUARE MEDICAL CENTRE,253,967.49,5676
01/10/2014,P84045,THE PARK MEDICAL CENTRE,235,838.14,5119
01/10/2014,P84054,WHITLEY ROAD MEDICAL CENTRE,304,952.61,6588
01/10/2014,P84040,CONRAN MEDICAL CENTRE,225,764.56,4869
01/10/2014,P84029,BENCHILL MEDICAL PRACTICE,433,1525.83,9334
01/10/2014,P84065,THE SINGH MEDICAL PRACTICE,176,839.85,3695
01/10/2014,Y02849,CITY HEALTH CENTRE,353,1084.9,7338
01/10/2014,P84014,RK MEDICAL PRACTICE,221,355.31,4287
01/10/2014,P84055,MERSEYBANK SURGERY,137,275.68,2586
01/10/2014,P84025,ST GEORGE'S MEDICAL CENTRE,399,1586.56,7100
01/10/2014,P84033,BEACON MEDICAL CENTRE,235,977.51,3839
01/10/2014,Y02890,HAWTHORN MC,309,1292.14,3794
01/11/2014,Y02520,SIMPSON MEDICAL PRACTICE,26,127.41,4720
01/11/2014,P84605,FERNCLOUGH SURGERY,16,32.41,2154
01/11/2014,P84683,THE DOC'S SURGERY,64,154.63,6256
01/11/2014,P84010,THE BORCHARDT MEDICAL CENTRE,149,446.29,11108
01/11/2014,P84068,CHORLTON FAMILY PRACTICE,134,474.04,9847
01/11/2014,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,81,194.17,5574
01/11/2014,P84630,THE ARCH MEDICAL PRACTICE,185,813.19,12381
01/11/2014,P84669,CORNBROOK MEDICAL PRACTICE,153,418.5,9992
01/11/2014,P84005,THE VALLANCE CENTRE,117,264.5,7223
01/11/2014,P84022,KINGSWAY MEDICAL PRACTICE,95,358,5818
01/11/2014,P84635,THE WHITSWOOD PRACTICE,57,163.63,3488
01/11/2014,P84072,THE ROBERT DARBISHIRE PRACTICE,331,1331.76,19985
01/11/2014,P84650,THE ALEXANDRA PRACTICE,98,406.73,5909
01/11/2014,P84039,THE RANGE MEDICAL CENTRE,145,470.72,8228
01/11/2014,P84676,OSWALD ROAD MEDICAL PRACTICE,81,312,4452
01/11/2014,P84034,BARLOW MEDICAL CENTRE,252,928.2,13424
01/11/2014,P84623,ALEESHAN MEDICAL CENTRE,25,34.5,1297
01/11/2014,P84035,BODEY MEDICAL CENTRE,321,1022.76,16620
01/11/2014,P84061,BROOKLANDS MEDICAL PRACTICE,108,450.13,5479
01/11/2014,P84038,ASHVILLE SURGERY,157,559.94,7899
01/11/2014,P84027,WEST POINT MEDICAL CENTRE,145,529.25,7247
01/11/2014,P84689,LONGSIGHT MEDICAL PRACTICE,96,192.1,4730
01/11/2014,P84009,AILSA CRAIG MEDICAL CENTRE,191,728.01,9342
01/11/2014,P84017,LADYBARN GROUP PRACTICE,213,621.83,10222
01/11/2014,P84018,MAULDETH MEDICAL CENTRE,130,267.75,6153
01/11/2014,P84050,MOUNT ROAD SURGERY,156,648.55,7242
01/11/2014,P84037,DR CUNNINGHAM & PARTNERS,149,604.12,6825
01/11/2014,P84053,ASHCROFT SURGERY,176,510.74,8036
01/11/2014,P84042,FLORENCE HOUSE MEDICAL PRACTICE,174,588.07,7775
01/11/2014,P84627,DR TIWARI'S PRACTICE,41,61.06,1825
01/11/2014,P84043,CORNISHWAY GROUP PRACTICE,201,805.19,8860
01/11/2014,P84074,WELLFIELD MEDICAL CENTRE,214,914.17,9387
01/11/2014,P84665,AL-SHIFA MEDICAL CENTRE,63,157.54,2749
01/11/2014,Y02325,CHARLESTOWN MD,76,266.92,3300
01/11/2014,P84652,CORKLAND ROAD MEDICAL PRACTICE,157,604.34,6810
01/11/2014,P84064,NEW ISLINGTON MEDICAL CENTRE,91,338.9,3840
01/11/2014,P84071,WILBRAHAM SURGERY,100,338.74,4206
01/11/2014,P84062,BROOKDALE SURGERY,69,140.46,2830
01/11/2014,P84616,MANCHESTER MEDICAL,161,407.47,6529
01/11/2014,P84023,SURREY LODGE PRACTICE,203,557.86,8106
01/11/2014,P84004,FIVE OAKS FAMILIY PRACTICE,223,914.18,8819
01/11/2014,P84611,"DR CHIU, KOH AND GAN",148,315.33,5822
01/11/2014,P84052,WEST GORTON MEDICAL PRACTICE,164,580.21,6288
01/11/2014,P84663,THE NEVILLE FAMILY CENTRE,106,352.99,4060
01/11/2014,P84651,NORTHERN MOOR MEDICAL PRACTICE,77,276.4,2949
01/11/2014,P84682,BURNAGE HEALTHCARE PRACTICE,61,181.25,2330
01/11/2014,P84070,NEWTON HEATH MEDICAL CENTRE,144,431.17,5469
01/11/2014,P84679,WILLOWBANK SURGERY,43,86.02,1606
01/11/2014,P84012,NORTHENDEN GROUP PRACTICE,297,926.08,11028
01/11/2014,P84026,DICKENSON ROAD MEDICAL CENTRE,173,629.33,6303
01/11/2014,P84639,FALLOWFIELD MEDICAL CENTRE,58,178.98,2111
01/11/2014,P84051,EASTLANDS MEDICAL CENTRE,152,486.93,5320
01/11/2014,Y02960,NEW BANK HEALTH,144,572.53,5016
01/11/2014,P84644,PARKSIDE SURGERY,112,280.13,3793
01/11/2014,P84626,WILMSLOW ROAD SURGERY,137,350.97,4614
01/11/2014,P84672,WOODLANDS MEDICAL PRACTICE,91,274.14,3023
01/11/2014,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,290,921.21,9540
01/11/2014,P84030,NEW COLLEGIATE MEDICAL CENTRE,404,1502.33,13039
01/11/2014,P84684,JOLLY MEDICAL CENTRE,98,195.97,3137
01/11/2014,P84040,CONRAN MEDICAL CENTRE,156,478.1,4869
01/11/2014,P84056,PRINCESS ROAD SURGERY,144,363.91,4482
01/11/2014,P84048,TREGENNA GROUP PRACTICE,211,484.43,6558
01/11/2014,P84067,HAZELDENE MEDICAL CENTRE,213,894.81,6584
01/11/2014,P84645,PARK VIEW MEDICAL CENTRE,200,642.53,6179
01/11/2014,P84640,QUEENS MEDICAL CENTRE,103,237.9,3143
01/11/2014,P84019,VALENTINE MEDICAL CENTRE,346,1143.98,10524
01/11/2014,P84020,PEEL HALL MEDICAL CENTRE,277,1019.69,8397
01/11/2014,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,302,857.52,9102
01/11/2014,P84021,THE MAPLES MEDICAL CENTRE,260,1041.74,7722
01/11/2014,P84631,ARTANE MEDICAL CENTRE,70,220.48,2005
01/11/2014,P84032,DRS HANIF & BANNURU,235,752.83,6462
01/11/2014,P84066,DAVID MEDICAL CENTRE,153,325.29,4157
01/11/2014,Y02849,CITY HEALTH CENTRE,276,863.69,7338
01/11/2014,P84047,DROYLSDEN RD FAMILY PRACTICE,184,463.51,4885
01/11/2014,Y01695,MP VICTORIA MILL,93,298.64,2437
01/11/2014,P84055,MERSEYBANK SURGERY,99,183.39,2586
01/11/2014,P84690,DAM HEAD MEDICAL CENTRE,102,242.68,2651
01/11/2014,P84016,LEVENSHULME MEDICAL PRACTICE,269,1247.35,6865
01/11/2014,P84637,DR KHAN'S PRACTICE,104,265.34,2547
01/11/2014,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,311,860.92,7534
01/11/2014,P84024,BOWLAND MEDICAL PRACTICE,314,1159.4,7579
01/11/2014,P84045,THE PARK MEDICAL CENTRE,214,766.99,5119
01/11/2014,P84049,THE AVENUE MEDICAL CENTRE,414,1279.81,9845
01/11/2014,P84041,CORNERSTONE FAMILY PRACTICE,258,899.92,6073
01/11/2014,P84065,THE SINGH MEDICAL PRACTICE,157,570.75,3695
01/11/2014,P84054,WHITLEY ROAD MEDICAL CENTRE,284,959.89,6588
01/11/2014,P84033,BEACON MEDICAL CENTRE,166,706.64,3839
01/11/2014,P84025,ST GEORGE'S MEDICAL CENTRE,315,1282.74,7100
01/11/2014,P84059,LIME SQUARE MEDICAL CENTRE,255,756.46,5676
01/11/2014,P84028,GORTON MEDICAL CENTRE,381,1024.43,8330
01/11/2014,P84029,BENCHILL MEDICAL PRACTICE,431,1756.55,9334
01/11/2014,P84014,RK MEDICAL PRACTICE,230,362.3,4287
01/11/2014,Y02890,HAWTHORN MC,333,1164.16,3794
01/12/2014,P84605,FERNCLOUGH SURGERY,7,12.17,2154
01/12/2014,P84683,THE DOC'S SURGERY,80,237.6,6256
01/12/2014,P84039,THE RANGE MEDICAL CENTRE,124,502.66,8228
01/12/2014,P84018,MAULDETH MEDICAL CENTRE,108,216.33,6153
01/12/2014,P84068,CHORLTON FAMILY PRACTICE,181,469.29,9847
01/12/2014,P84630,THE ARCH MEDICAL PRACTICE,234,824.19,12381
01/12/2014,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,107,243.49,5574
01/12/2014,P84639,FALLOWFIELD MEDICAL CENTRE,41,196.39,2111
01/12/2014,P84010,THE BORCHARDT MEDICAL CENTRE,217,690.46,11108
01/12/2014,P84072,THE ROBERT DARBISHIRE PRACTICE,392,1280.89,19985
01/12/2014,Y02325,CHARLESTOWN MD,67,264.17,3300
01/12/2014,P84669,CORNBROOK MEDICAL PRACTICE,213,505.45,9992
01/12/2014,P84005,THE VALLANCE CENTRE,155,418.72,7223
01/12/2014,P84035,BODEY MEDICAL CENTRE,365,1181.8,16620
01/12/2014,P84027,WEST POINT MEDICAL CENTRE,163,469.87,7247
01/12/2014,P84034,BARLOW MEDICAL CENTRE,305,1234.69,13424
01/12/2014,P84038,ASHVILLE SURGERY,185,802.83,7899
01/12/2014,Y02520,SIMPSON MEDICAL PRACTICE,121,565.72,4720
01/12/2014,P84009,AILSA CRAIG MEDICAL CENTRE,265,1558.22,9342
01/12/2014,P84650,THE ALEXANDRA PRACTICE,174,626,5909
01/12/2014,P84611,"DR CHIU, KOH AND GAN",172,384.45,5822
01/12/2014,P84050,MOUNT ROAD SURGERY,215,934.61,7242
01/12/2014,P84635,THE WHITSWOOD PRACTICE,106,477.22,3488
01/12/2014,P84053,ASHCROFT SURGERY,246,771.97,8036
01/12/2014,P84042,FLORENCE HOUSE MEDICAL PRACTICE,243,738.07,7775
01/12/2014,P84616,MANCHESTER MEDICAL,205,585.22,6529
01/12/2014,P84689,LONGSIGHT MEDICAL PRACTICE,154,440.67,4730
01/12/2014,P84676,OSWALD ROAD MEDICAL PRACTICE,145,442.79,4452
01/12/2014,P84652,CORKLAND ROAD MEDICAL PRACTICE,222,697.86,6810
01/12/2014,P84064,NEW ISLINGTON MEDICAL CENTRE,126,278.96,3840
01/12/2014,P84640,QUEENS MEDICAL CENTRE,107,285.61,3143
01/12/2014,P84004,FIVE OAKS FAMILIY PRACTICE,302,1105.97,8819
01/12/2014,P84022,KINGSWAY MEDICAL PRACTICE,202,801.45,5818
01/12/2014,P84037,DR CUNNINGHAM & PARTNERS,237,792.16,6825
01/12/2014,P84026,DICKENSON ROAD MEDICAL CENTRE,222,726.67,6303
01/12/2014,P84033,BEACON MEDICAL CENTRE,136,650.32,3839
01/12/2014,P84052,WEST GORTON MEDICAL PRACTICE,225,760.67,6288
01/12/2014,P84684,JOLLY MEDICAL CENTRE,114,305.14,3137
01/12/2014,P84682,BURNAGE HEALTHCARE PRACTICE,85,248.28,2330
01/12/2014,P84061,BROOKLANDS MEDICAL PRACTICE,200,575.43,5479
01/12/2014,P84074,WELLFIELD MEDICAL CENTRE,343,1435.65,9387
01/12/2014,P84017,LADYBARN GROUP PRACTICE,376,1276.99,10222
01/12/2014,P84043,CORNISHWAY GROUP PRACTICE,332,1107.56,8860
01/12/2014,P84645,PARK VIEW MEDICAL CENTRE,232,1095.34,6179
01/12/2014,P84071,WILBRAHAM SURGERY,158,701.42,4206
01/12/2014,P84651,NORTHERN MOOR MEDICAL PRACTICE,112,305.62,2949
01/12/2014,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,365,959,9540
01/12/2014,P84623,ALEESHAN MEDICAL CENTRE,50,65.04,1297
01/12/2014,P84070,NEWTON HEATH MEDICAL CENTRE,213,603.97,5469
01/12/2014,P84030,NEW COLLEGIATE MEDICAL CENTRE,508,2091.68,13039
01/12/2014,P84665,AL-SHIFA MEDICAL CENTRE,109,162.3,2749
01/12/2014,P84023,SURREY LODGE PRACTICE,324,873.87,8106
01/12/2014,P84679,WILLOWBANK SURGERY,65,125.67,1606
01/12/2014,P84012,NORTHENDEN GROUP PRACTICE,451,1310.03,11028
01/12/2014,P84062,BROOKDALE SURGERY,119,255.55,2830
01/12/2014,P84051,EASTLANDS MEDICAL CENTRE,224,777,5320
01/12/2014,P84019,VALENTINE MEDICAL CENTRE,449,1422.23,10524
01/12/2014,P84644,PARKSIDE SURGERY,167,541.26,3793
01/12/2014,Y02960,NEW BANK HEALTH,227,893.9,5016
01/12/2014,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,414,1259.54,9102
01/12/2014,P84021,THE MAPLES MEDICAL CENTRE,352,1243.62,7722
01/12/2014,P84690,DAM HEAD MEDICAL CENTRE,122,284.82,2651
01/12/2014,P84627,DR TIWARI'S PRACTICE,84,240.59,1825
01/12/2014,P84032,DRS HANIF & BANNURU,302,787.98,6462
01/12/2014,P84626,WILMSLOW ROAD SURGERY,220,504.23,4614
01/12/2014,P84048,TREGENNA GROUP PRACTICE,313,686.33,6558
01/12/2014,P84028,GORTON MEDICAL CENTRE,409,1122.87,8330
01/12/2014,P84066,DAVID MEDICAL CENTRE,205,511.92,4157
01/12/2014,Y01695,MP VICTORIA MILL,122,453.92,2437
01/12/2014,P84663,THE NEVILLE FAMILY CENTRE,204,593.18,4060
01/12/2014,P84020,PEEL HALL MEDICAL CENTRE,428,1432.91,8397
01/12/2014,P84056,PRINCESS ROAD SURGERY,229,705.58,4482
01/12/2014,P84067,HAZELDENE MEDICAL CENTRE,339,1351.57,6584
01/12/2014,P84637,DR KHAN'S PRACTICE,132,332.48,2547
01/12/2014,P84054,WHITLEY ROAD MEDICAL CENTRE,344,1145.93,6588
01/12/2014,P84047,DROYLSDEN RD FAMILY PRACTICE,259,630.6,4885
01/12/2014,P84016,LEVENSHULME MEDICAL PRACTICE,365,1759.44,6865
01/12/2014,P84065,THE SINGH MEDICAL PRACTICE,202,527.32,3695
01/12/2014,P84045,THE PARK MEDICAL CENTRE,281,596.18,5119
01/12/2014,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,416,966.22,7534
01/12/2014,P84049,THE AVENUE MEDICAL CENTRE,548,1714.27,9845
01/12/2014,P84024,BOWLAND MEDICAL PRACTICE,424,1629.06,7579
01/12/2014,P84631,ARTANE MEDICAL CENTRE,117,412.09,2005
01/12/2014,P84672,WOODLANDS MEDICAL PRACTICE,177,489.88,3023
01/12/2014,P84040,CONRAN MEDICAL CENTRE,292,1193.23,4869
01/12/2014,P84029,BENCHILL MEDICAL PRACTICE,580,1894.54,9334
01/12/2014,P84059,LIME SQUARE MEDICAL CENTRE,360,1046.71,5676
01/12/2014,P84041,CORNERSTONE FAMILY PRACTICE,389,1121.73,6073
01/12/2014,P84025,ST GEORGE'S MEDICAL CENTRE,482,1725.44,7100
01/12/2014,Y02849,CITY HEALTH CENTRE,500,1396.96,7338
01/12/2014,P84014,RK MEDICAL PRACTICE,303,476.36,4287
01/12/2014,P84055,MERSEYBANK SURGERY,192,404.74,2586
01/12/2014,Y02890,HAWTHORN MC,407,1454.47,3794
01/01/2015,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,125,382.2,0
01/01/2015,P84605,FERNCLOUGH SURGERY,8,13.66,2159
01/01/2015,P84683,THE DOC'S SURGERY,78,183.63,6360
01/01/2015,P84630,THE ARCH MEDICAL PRACTICE,189,1042.04,12762
01/01/2015,P84072,THE ROBERT DARBISHIRE PRACTICE,305,1015.01,19797
01/01/2015,P84669,CORNBROOK MEDICAL PRACTICE,159,439.36,10298
01/01/2015,Y02325,CHARLESTOWN MD,51,236.63,3279
01/01/2015,P84005,THE VALLANCE CENTRE,114,241.02,7190
01/01/2015,P84010,THE BORCHARDT MEDICAL CENTRE,178,609.32,11029
01/01/2015,P84068,CHORLTON FAMILY PRACTICE,164,469.41,9731
01/01/2015,P84038,ASHVILLE SURGERY,138,431.18,7955
01/01/2015,P84035,BODEY MEDICAL CENTRE,298,754.52,16592
01/01/2015,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,259,564.24,13170
01/01/2015,P84018,MAULDETH MEDICAL CENTRE,118,241.62,5991
01/01/2015,P84034,BARLOW MEDICAL CENTRE,268,703.8,13439
01/01/2015,P84039,THE RANGE MEDICAL CENTRE,172,426.69,8179
01/01/2015,P84635,THE WHITSWOOD PRACTICE,78,283.96,3523
01/01/2015,P84009,AILSA CRAIG MEDICAL CENTRE,207,935.27,9336
01/01/2015,P84050,MOUNT ROAD SURGERY,162,853.81,7277
01/01/2015,P84027,WEST POINT MEDICAL CENTRE,162,605.17,7232
01/01/2015,P84652,CORKLAND ROAD MEDICAL PRACTICE,157,737.01,6883
01/01/2015,P84639,FALLOWFIELD MEDICAL CENTRE,50,111.25,2118
01/01/2015,P84033,BEACON MEDICAL CENTRE,91,351.34,3834
01/01/2015,P84650,THE ALEXANDRA PRACTICE,142,576.85,5895
01/01/2015,P84676,OSWALD ROAD MEDICAL PRACTICE,109,391.43,4495
01/01/2015,P84616,MANCHESTER MEDICAL,166,478.51,6539
01/01/2015,P84061,BROOKLANDS MEDICAL PRACTICE,141,506.81,5543
01/01/2015,P84689,LONGSIGHT MEDICAL PRACTICE,123,303.9,4833
01/01/2015,P84026,DICKENSON ROAD MEDICAL CENTRE,164,557.65,6361
01/01/2015,P84030,NEW COLLEGIATE MEDICAL CENTRE,349,1646.95,13073
01/01/2015,P84064,NEW ISLINGTON MEDICAL CENTRE,105,291.88,3887
01/01/2015,P84611,"DR CHIU, KOH AND GAN",158,381.84,5842
01/01/2015,P84665,AL-SHIFA MEDICAL CENTRE,76,159.1,2775
01/01/2015,P84017,LADYBARN GROUP PRACTICE,282,1043.69,10268
01/01/2015,Y02520,SIMPSON MEDICAL PRACTICE,134,798.59,4870
01/01/2015,P84623,ALEESHAN MEDICAL CENTRE,36,65.45,1304
01/01/2015,P84037,DR CUNNINGHAM & PARTNERS,191,651.58,6913
01/01/2015,P84062,BROOKDALE SURGERY,79,135.64,2825
01/01/2015,P84640,QUEENS MEDICAL CENTRE,88,230.56,3100
01/01/2015,P84056,PRINCESS ROAD SURGERY,128,274.51,4505
01/01/2015,P84053,ASHCROFT SURGERY,227,721.43,7974
01/01/2015,P84644,PARKSIDE SURGERY,111,284.05,3872
01/01/2015,P84042,FLORENCE HOUSE MEDICAL PRACTICE,227,768.81,7881
01/01/2015,P84004,FIVE OAKS FAMILIY PRACTICE,256,979.54,8814
01/01/2015,P84022,KINGSWAY MEDICAL PRACTICE,171,482,5831
01/01/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,276,647.58,9316
01/01/2015,P84023,SURREY LODGE PRACTICE,249,586.14,8320
01/01/2015,P84074,WELLFIELD MEDICAL CENTRE,287,1052.86,9588
01/01/2015,P84645,PARK VIEW MEDICAL CENTRE,188,660.58,6236
01/01/2015,P84684,JOLLY MEDICAL CENTRE,96,162.17,3170
01/01/2015,P84627,DR TIWARI'S PRACTICE,57,147.85,1862
01/01/2015,P84682,BURNAGE HEALTHCARE PRACTICE,71,195.72,2308
01/01/2015,P84012,NORTHENDEN GROUP PRACTICE,345,919.16,11016
01/01/2015,P84071,WILBRAHAM SURGERY,132,370.79,4196
01/01/2015,P84052,WEST GORTON MEDICAL PRACTICE,199,689.77,6322
01/01/2015,P84070,NEWTON HEATH MEDICAL CENTRE,174,483.61,5452
01/01/2015,P84663,THE NEVILLE FAMILY CENTRE,129,500.06,4028
01/01/2015,P84651,NORTHERN MOOR MEDICAL PRACTICE,99,330.84,2953
01/01/2015,P84043,CORNISHWAY GROUP PRACTICE,297,1035.3,8832
01/01/2015,P84021,THE MAPLES MEDICAL CENTRE,264,917.37,7724
01/01/2015,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,346,1011.67,9720
01/01/2015,P84690,DAM HEAD MEDICAL CENTRE,94,314.43,2640
01/01/2015,P84016,LEVENSHULME MEDICAL PRACTICE,247,907.28,6889
01/01/2015,P84626,WILMSLOW ROAD SURGERY,170,373.57,4654
01/01/2015,Y02960,NEW BANK HEALTH,182,784.73,4977
01/01/2015,P84019,VALENTINE MEDICAL CENTRE,386,1248.06,10519
01/01/2015,P84020,PEEL HALL MEDICAL CENTRE,311,1196.85,8378
01/01/2015,Y01695,MP VICTORIA MILL,92,434.91,2438
01/01/2015,P84047,DROYLSDEN RD FAMILY PRACTICE,190,377.19,4853
01/01/2015,P84065,THE SINGH MEDICAL PRACTICE,146,366.81,3699
01/01/2015,P84054,WHITLEY ROAD MEDICAL CENTRE,261,735.68,6599
01/01/2015,P84045,THE PARK MEDICAL CENTRE,211,616.11,5114
01/01/2015,P84048,TREGENNA GROUP PRACTICE,272,661,6570
01/01/2015,P84631,ARTANE MEDICAL CENTRE,83,239.03,1996
01/01/2015,P84067,HAZELDENE MEDICAL CENTRE,278,881.69,6571
01/01/2015,P84051,EASTLANDS MEDICAL CENTRE,225,722.26,5288
01/01/2015,P84637,DR KHAN'S PRACTICE,109,261,2559
01/01/2015,P84040,CONRAN MEDICAL CENTRE,227,842.75,4977
01/01/2015,P84041,CORNERSTONE FAMILY PRACTICE,281,1076.82,6118
01/01/2015,P84032,DRS HANIF & BANNURU,309,856.27,6482
01/01/2015,P84679,WILLOWBANK SURGERY,78,178.08,1628
01/01/2015,Y02849,CITY HEALTH CENTRE,358,930.07,7461
